filename,v_thr,s_thr,box_area,highlight_in_count,highlight_out_count,highlight_in_pct,highlight_out_pct,ratio_highlight,reduction_highlight,cov_in,cov_out,ratio_cov,reduction_cov
23.png,77.0,80.0,1274277,3313,463,0.2599905672000672,0.036334329192161514,0.13975249019015998,0.86024750980984,0.40524680306798305,0.34881419918744794,0.8607450979173594,0.13925490208264057
24.png,74.0,80.0,1256172,3470,703,0.2762360568457186,0.055963673764420796,0.2025936599423631,0.7974063400576369,0.3696687137075705,0.3234291972116767,0.8749163378416926,0.12508366215830735
25.png,82.0,80.0,1286512,2790,376,0.21686544703819322,0.029226311142064747,0.13476702508960572,0.8652329749103943,0.4323959392927509,0.3707790303692312,0.8574988723892656,0.1425011276107344
26.png,76.0,80.0,1291813,4615,2128,0.35724984962993866,0.1647297248131115,0.4611050920910076,0.5388949079089924,0.37561476576809594,0.3324784373097869,0.8851580598273355,0.11484194017266447
27.png,83.0,80.0,1245622,2886,181,0.23169147622633512,0.014530892999641947,0.06271656271656272,0.9372834372834373,0.42957899159057567,0.37404642743691024,0.8707279330675636,0.12927206693243642
28.png,86.0,80.0,1221538,1761,179,0.14416252298332102,0.014653657929593675,0.10164679159568427,0.8983532084043158,0.4275584882318885,0.3793642602120278,0.887280385382684,0.11271961461731606
29.png,79.0,80.0,1302033,7621,5649,0.5853154259531057,0.43385997129105025,0.741241306915103,0.25875869308489696,0.4222440175374009,0.37203268242950827,0.8810845553224562,0.11891544467754378
3.png,77.0,80.0,1211681,4586,571,0.37848245536572744,0.04712461448186445,0.12450937636284344,0.8754906236371566,0.4184529984604161,0.34924067751622245,0.8345995340006128,0.16540046599938718
30.png,83.0,80.0,1234083,2409,383,0.1952056709313717,0.031035189691455113,0.15898713158987132,0.8410128684101287,0.4383795442124755,0.3805701105807881,0.8681292628844286,0.1318707371155714
31.png,74.0,80.0,1252578,3938,83,0.31439159876670353,0.006626333849069679,0.021076688674454037,0.978923311325546,0.4130581523624843,0.3470933705047896,0.8403014648653964,0.15969853513460364
32.png,74.0,80.0,1268150,5131,1023,0.4046051334621299,0.08066869061230927,0.19937633989475737,0.8006236601052427,0.3763614309276674,0.3244125022214709,0.8619706366347073,0.1380293633652927
33.png,75.0,80.0,1243942,3921,114,0.3152076222203286,0.009164414418035567,0.029074215761285386,0.9709257842387146,0.42350751086893573,0.35530325032250765,0.8389538348293061,0.16104616517069392
34.png,73.0,80.0,1249771,3899,110,0.3119771542146521,0.00880161245540183,0.028212362144139524,0.9717876378558605,0.4114264809205535,0.3502527703475282,0.8513131424206067,0.14868685757939326
35.png,78.0,80.0,1279710,2394,412,0.1870736338701737,0.03219479413304577,0.1720969089390142,0.8279030910609858,0.3938285171789249,0.3485997112418768,0.8851560921463193,0.1148439078536807
